competency_level_id,competency_id,level_no,level_name,level_description,source_id,provenance,source_type,created_at,updated_at
COMP-025-L2,COMP-025,2,Basic Application,"Adapt a supplied script to clean fictional records with missing-value checks. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-025-L3,COMP-025,3,Independent Application,"Build a repeatable data pipeline with functions, tests and documented dependencies. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-025-L4,COMP-025,4,Advanced,"Review numerical correctness, memory use and reproducibility of Python workflows. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-025-L5,COMP-025,5,Expert / Strategic,"Govern maintainable statistical Python systems and independent code review. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-026-L1,COMP-026,1,Awareness,"Explain R vectors, data frames and explicit missing values. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-026-L2,COMP-026,2,Basic Application,"Adapt an R script to summarize a supplied fictional dataset. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-026-L3,COMP-026,3,Independent Application,"Produce reproducible weighted analysis with diagnostic checks and session metadata. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-026-L4,COMP-026,4,Advanced,"Review statistical assumptions, uncertainty and reproducibility of an R analysis. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-026-L5,COMP-026,5,Expert / Strategic,"Govern reusable R analysis standards and independent analytical review. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-027-L1,COMP-027,1,Awareness,"Explain primary keys, joins, filters and SQL NULL. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-027-L2,COMP-027,2,Basic Application,"Write simple selections and grouped summaries using a provided schema. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-027-L3,COMP-027,3,Independent Application,"Build tested multi-table queries that avoid duplicate amplification and handle NULL correctly. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-027-L4,COMP-027,4,Advanced,"Review query plans, constraints and aggregate reconciliation on larger data. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-027-L5,COMP-027,5,Expert / Strategic,"Govern auditable SQL models, access patterns and data-quality controls. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-028-L1,COMP-028,1,Awareness,"Explain chart types, scales, labels and misleading visual encodings. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-028-L2,COMP-028,2,Basic Application,"Create a labeled chart from supplied fictional summary data. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-028-L3,COMP-028,3,Independent Application,"Build an accessible visual narrative with uncertainty, units and source notes. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-028-L4,COMP-028,4,Advanced,"Review dashboards for misleading comparisons, disclosure risk and comprehension. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-028-L5,COMP-028,5,Expert / Strategic,"Govern visualization standards and evaluate their use across statistical releases. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-029-L1,COMP-029,1,Awareness,"Distinguish prediction from inference and training, validation and test data. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-029-L2,COMP-029,2,Basic Application,"Train and evaluate a supplied baseline on fictional non-sensitive data. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-029-L3,COMP-029,3,Independent Application,"Build a leakage-controlled evaluation and document metrics, bias and limitations. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-029-L4,COMP-029,4,Advanced,"Evaluate drift, generalization and risks before reviewed statistical ML deployment. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-029-L5,COMP-029,5,Expert / Strategic,"Govern model inventory, validation, monitoring and accountable human oversight. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-030-L1,COMP-030,1,Awareness,"Explain compute, storage, identity and shared responsibility. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-030-L2,COMP-030,2,Basic Application,"Configure a sandbox workload using supplied least-privilege settings. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-030-L3,COMP-030,3,Independent Application,"Design a logged reproducible data workload with backup and cost controls. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-030-L4,COMP-030,4,Advanced,"Review resilience, data-location constraints and secure deployment trade-offs. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-030-L5,COMP-030,5,Expert / Strategic,"Govern cloud architecture and independently tested operational and recovery controls. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-031-L1,COMP-031,1,Awareness,"Explain requests, responses, status codes and API contracts. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-031-L2,COMP-031,2,Basic Application,"Consume a local fixture API and validate response types and required fields. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-031-L3,COMP-031,3,Independent Application,"Implement contract-tested pagination, input validation and idempotent write handling. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-031-L4,COMP-031,4,Advanced,"Review versioning, authorization boundaries, performance and failure behavior. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-031-L5,COMP-031,5,Expert / Strategic,"Govern interoperable API standards and service compatibility. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-032-L1,COMP-032,1,Awareness,"Recognize phishing, credential risks and incident-reporting responsibilities. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-032-L2,COMP-032,2,Basic Application,"Apply MFA, least privilege and safe file handling in a training scenario. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-032-L3,COMP-032,3,Independent Application,"Assess a local-service threat model and validate access, logging and patch controls. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-032-L4,COMP-032,4,Advanced,"Review security findings and coordinate a tabletop incident-response exercise. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
COMP-032-L5,COMP-032,5,Expert / Strategic,"Govern risk-based cybersecurity assurance and independently evaluated response readiness. Prototype anchor, not an officially calibrated or certified level.",SRC-EXPANSION,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
